team,open,murk,hive,fortress,bloom,avg,best,worst,swing,hooks,roles at 2+,deep role,elements,duplicate elements,harmonies
"Ballast, Ash, Ledger, Fen, Quill",2.36,1.78,3.95,2.68,2.38,2.63,3.95,1.78,2.17,8,DoTx2 Breakerx2,none,growth decay order order void,1,9
"Ferrule, Tarn, Rime, Sump, Mote",2.38,1.58,3.65,2.31,3.1,2.604,3.65,1.58,2.07,12,Tankx2 DPSx2 Breakerx2,none,growth chaos order growth energy,1,12
"Nettle, Ferrule, Pyre, Ash, Rime",2.15,1.62,3.93,2.41,2.91,2.604,3.93,1.62,2.31,9,DoTx2,none,energy growth chaos decay order,0,0
"Ferrule, Corr, Vane, Mote, Ash",2.31,1.69,3.23,2.75,2.98,2.592,3.23,1.69,1.54,8,DPSx2 Speedx2,none,growth void energy energy decay,1,10.6
"Halo, Ash, Vitre, Bosk, Mire",2.15,1.6,4.09,2.68,2.43,2.59,4.09,1.6,2.49,10,Healerx2 Speedx2 Tankx2,none,energy decay void decay growth,1,16.3
"Tarn, Ballast, Mire, Ferrule, Wex",2.38,1.83,2.57,3.42,2.75,2.59,3.42,1.83,1.59,11,Tankx5 DPSx2 Healerx2,Tank,chaos growth growth growth order,2,28.4
"Ash, Halo, Fen, Wex, Maul",2.41,1.85,2.91,3.14,2.57,2.576,3.14,1.85,1.29,7,Healerx3,none,decay energy order order decay,2,16.4
"Wex, Cinder, Ballast, Ash, Ledger",2.38,1.88,2.73,3.33,2.52,2.568,3.33,1.88,1.45,8,Tankx2 DoTx2,none,order chaos growth decay order,1,7.3
"Vane, Rime, Vitre, Quill, Mote",2.24,1.6,3.6,2.24,3.14,2.564,3.6,1.6,2,9,Speedx3 Breakerx4,Breaker,energy order void void energy,2,44.4
"Vitre, Corr, Mote, Halo, Wex",2.24,1.58,3.6,2.41,2.87,2.54,3.6,1.58,2.02,7,Breakerx2 Speedx3 Healerx2,none,void void energy energy order,2,49
"Vitre, Fen, Maul, Corr, Wex",2.15,1.44,3.4,3,2.68,2.534,3.4,1.44,1.96,6,Breakerx2 Healerx2 DPSx2,none,void order decay void order,2,26.1
"Corr, Ledger, Rime, Ash, Pyre",2.24,1.58,3.53,2.43,2.82,2.52,3.53,1.58,1.95,7,Breakerx2 DoTx2,none,void order order decay chaos,1,12
"Mote, Sump, Bosk, Rime, Tarn",2.27,1.55,3.56,2.36,2.84,2.516,3.56,1.55,2.01,10,Breakerx2 DPSx2 Tankx2,none,energy growth decay order chaos,0,0
"Mire, Tarn, Ash, Ferrule, Ballast",2.38,1.9,2.57,3.19,2.52,2.512,3.19,1.9,1.29,13,Tankx4 DPSx2,Tank,growth chaos decay growth growth,2,11.3
"Mire, Fen, Vitre, Mote, Nettle",2.41,1.55,3.49,2.34,2.77,2.512,3.49,1.55,1.94,10,Healerx2 Breakerx2 Speedx3,none,growth order void energy energy,1,38.1
"Mote, Ledger, Ash, Bosk, Halo",2.15,1.62,3.81,2.47,2.41,2.492,3.81,1.62,2.19,7,Speedx3 Breakerx2,none,energy order decay decay energy,2,24.5
"Nettle, Maul, Mote, Mire, Wex",2.29,1.74,2.24,3.21,2.91,2.478,3.21,1.74,1.47,8,Speedx2 Breakerx2 Healerx2 Tankx2,none,energy decay energy growth order,1,28.8
"Vitre, Rime, Cinder, Fen, Ledger",1.97,1.37,3.74,2.54,2.75,2.474,3.74,1.37,2.37,8,Breakerx3 Speedx2,none,void order chaos order order,2,65.9
"Ash, Wex, Mire, Nettle, Ledger",2.38,1.69,2.68,3.14,2.41,2.46,3.14,1.69,1.45,9,Tankx2 Healerx2 Speedx2,none,decay order growth energy order,1,9.6
"Sump, Nettle, Ash, Wex, Corr",2.38,1.78,2.7,2.98,2.43,2.454,2.98,1.78,1.2,8,DoTx2 Healerx2,none,growth energy decay order void,0,0
"Ballast, Fen, Vane, Ferrule, Ash",2.38,1.69,2.98,3.03,1.9,2.396,3.03,1.69,1.34,9,Tankx2 Healerx2,none,growth order energy growth decay,1,6.8
"Pyre, Mote, Vitre, Nettle, Wex",2.22,1.51,3.3,2.27,2.68,2.396,3.3,1.51,1.79,8,Speedx3 Breakerx2,none,chaos energy void energy order,1,38
"Mote, Maul, Sump, Fen, Tarn",2.38,1.69,2.08,3.05,2.73,2.386,3.05,1.69,1.36,10,Breakerx2 DPSx2 Healerx2,none,energy decay growth order chaos,0,0
"Mote, Vitre, Quill, Ledger, Nettle",1.85,1.37,3.65,2.29,2.75,2.382,3.65,1.37,2.28,8,Speedx4 Breakerx4,Speed Breaker,energy void void order energy,2,49.1
"Fen, Tarn, Ash, Pyre, Mire",2.08,1.69,2.7,2.75,2.68,2.38,2.75,1.69,1.06,11,Healerx2 Tankx2 DoTx2,none,order chaos decay chaos growth,1,1.4
"Mote, Rime, Cinder, Tarn, Quill",1.88,1.32,3.4,2.43,2.82,2.37,3.4,1.32,2.08,9,Breakerx3 DoTx2 DPSx2,none,energy order chaos chaos void,1,2.8
"Sump, Mote, Tarn, Nettle, Vitre",1.92,1.46,3.26,2.38,2.75,2.354,3.26,1.46,1.8,12,Speedx3 Breakerx2,none,growth energy chaos energy void,1,33.2
"Vane, Mote, Cinder, Nettle, Ash",2.17,1.74,2.7,2.61,2.45,2.334,2.7,1.74,0.96,8,Speedx3 DoTx2,none,energy energy chaos energy decay,2,29
"Ash, Corr, Ledger, Vitre, Pyre",1.94,1.55,3.53,2.2,2.41,2.326,3.53,1.55,1.98,8,DoTx2 Breakerx2 Speedx2,none,decay void order void chaos,1,10.4
"Rime, Quill, Vitre, Fen, Wex",2.11,1.39,3.42,2.11,2.57,2.32,3.42,1.39,2.03,8,Breakerx3 Healerx2,none,order void void order order,3,104.6
"Cinder, Ferrule, Mire, Mote, Maul",2.15,1.58,1.97,3.35,2.52,2.314,3.35,1.58,1.77,9,DPSx3 Tankx2 Breakerx2,none,chaos growth growth energy decay,1,2
"Rime, Ferrule, Vitre, Vane, Mote",2.15,1.41,3.58,1.76,2.66,2.312,3.58,1.41,2.17,10,Breakerx3 Speedx3,none,order growth void energy energy,1,18.1
"Mire, Ash, Fen, Halo, Ledger",2.15,1.69,2.57,2.91,2.06,2.276,2.91,1.69,1.22,9,Healerx3 Speedx2,none,growth decay order energy order,1,13.8
"Ferrule, Cinder, Ballast, Corr, Ash",2.15,1.74,2.41,2.84,2.15,2.258,2.84,1.74,1.1,8,Tankx2 DPSx3 DoTx2,none,growth chaos growth void decay,1,3.3
"Ash, Corr, Wex, Nettle, Cinder",2.15,1.74,2.36,2.8,2.24,2.258,2.8,1.74,1.06,6,DoTx2 DPSx2,none,decay void order energy chaos,0,0
"Quill, Corr, Rime, Fen, Cinder",1.92,1.39,2.57,2.75,2.57,2.24,2.75,1.39,1.36,5,Breakerx2 DoTx2 DPSx2,none,void void order order chaos,2,35.6
"Quill, Ash, Fen, Tarn, Ballast",2.15,1.78,2.41,2.73,2.08,2.23,2.73,1.78,0.95,10,DoTx2 Tankx2,none,void decay order chaos growth,0,0
"Ferrule, Bosk, Nettle, Ash, Fen",2.08,1.58,2.43,2.61,2.38,2.216,2.61,1.58,1.03,7,Tankx2 DPSx2,none,growth decay energy decay order,1,16.1
"Cinder, Mire, Rime, Halo, Maul",2.08,1.41,2.41,2.59,2.57,2.212,2.59,1.41,1.18,8,DPSx2 Healerx2 Breakerx2,none,chaos growth order energy decay,0,0
"Fen, Ledger, Rime, Corr, Cinder",1.99,1.37,2.24,2.82,2.54,2.192,2.82,1.37,1.45,5,Breakerx2 DPSx2,none,order order order void chaos,2,49.1
"Ferrule, Bosk, Mote, Ballast, Wex",2.17,1.55,2.29,2.41,2.5,2.184,2.5,1.55,0.95,7,Tankx4 DPSx2,Tank,growth decay energy growth order,1,9.7
"Vitre, Ash, Bosk, Corr, Halo",1.85,1.39,3.53,2.2,1.92,2.178,3.53,1.39,2.14,7,Speedx2 DPSx2,none,void decay decay void energy,2,22.6
"Corr, Ballast, Ledger, Ash, Maul",1.9,1.55,2.7,2.57,2.15,2.174,2.7,1.55,1.15,7,DPSx2 Breakerx2,none,void growth order decay decay,1,6.7
"Halo, Ballast, Pyre, Mote, Ash",1.94,1.55,2.7,2.08,2.57,2.168,2.7,1.55,1.15,9,Speedx2 DoTx2,none,energy growth chaos energy decay,1,9.3
"Ash, Ferrule, Cinder, Nettle, Tarn",2.08,1.69,2.24,2.68,2.08,2.154,2.68,1.69,0.99,10,DoTx2 Tankx2 DPSx3,none,decay growth chaos energy chaos,1,2.3
"Maul, Pyre, Ferrule, Mote, Fen",2.15,1.48,1.85,2.8,2.47,2.15,2.8,1.48,1.32,7,DPSx2 Breakerx2,none,decay chaos growth energy order,0,0
"Mote, Wex, Tarn, Ledger, Cinder",2.08,1.46,1.85,2.82,2.43,2.128,2.82,1.46,1.36,8,Speedx2 Breakerx2 Tankx2 DPSx2,none,energy order chaos order chaos,2,23.4
"Cinder, Ash, Bosk, Maul, Ledger",1.85,1.58,2.24,2.75,2.22,2.128,2.75,1.58,1.17,6,DoTx2 DPSx3 Breakerx2,none,chaos decay decay decay order,2,14.2
"Fen, Vitre, Rime, Quill, Ballast",1.88,1.28,3.17,1.85,2.34,2.104,3.17,1.28,1.89,9,Breakerx3,none,order void order void growth,2,57.5
"Sump, Ash, Cinder, Vane, Bosk",2.08,1.58,2.34,2.45,1.92,2.074,2.45,1.58,0.87,8,DoTx3 Healerx2 DPSx2,none,growth decay chaos energy decay,1,10.9
"Ash, Quill, Nettle, Ballast, Mire",2.04,1.58,2.29,2.52,1.92,2.07,2.52,1.58,0.94,10,DoTx2 Tankx2,none,decay void energy growth growth,1,4.3
"Fen, Mote, Halo, Maul, Pyre",2.08,1.41,1.85,2.5,2.41,2.05,2.5,1.41,1.09,6,Healerx2 Speedx2 Breakerx2,none,order energy energy decay chaos,1,14.1
"Mote, Vane, Rime, Ballast, Ferrule",1.94,1.23,2.94,1.71,2.41,2.046,2.94,1.23,1.71,9,Speedx2 Breakerx2 Tankx2,none,energy energy order growth growth,2,32.5
"Ash, Ballast, Mire, Maul, Bosk",1.9,1.55,2.08,2.52,2.15,2.04,2.52,1.55,0.97,9,Tankx3 DPSx2,none,decay growth growth decay decay,3,27
"Corr, Ash, Sump, Vane, Nettle",1.97,1.69,2.31,2.34,1.88,2.038,2.34,1.69,0.65,8,DoTx2 Healerx2 Speedx2,none,void decay growth energy energy,1,8.4
"Ballast, Rime, Fen, Vane, Mote",1.92,1.28,2.91,1.78,2.27,2.032,2.91,1.28,1.63,8,Breakerx2 Healerx2 Speedx2,none,growth order order energy energy,2,47.4
"Quill, Nettle, Vitre, Mote, Tarn",1.69,1.28,2.7,2.08,2.38,2.026,2.7,1.28,1.42,10,Breakerx3 Speedx3,none,void energy void energy chaos,2,47.6
"Halo, Mire, Maul, Ash, Corr",1.9,1.41,2.11,2.57,2.08,2.014,2.57,1.41,1.16,8,Healerx2 DPSx2,none,energy growth decay decay void,1,7.8
"Ballast, Tarn, Sump, Rime, Vitre",1.74,1.23,2.89,1.83,2.34,2.006,2.89,1.23,1.66,13,Tankx2 Breakerx2,none,growth chaos growth order void,1,13.7
"Bosk, Maul, Tarn, Ballast, Rime",1.74,1.32,2.08,2.34,2.41,1.978,2.41,1.32,1.09,8,DPSx3 Tankx3 Breakerx2,none,decay decay chaos growth order,1,9.5
"Quill, Ledger, Maul, Ferrule, Vitre",1.58,1.23,2.68,2.2,2.15,1.968,2.68,1.23,1.45,8,Breakerx4 Speedx2 DPSx2,Breaker,void order decay growth void,1,21.5
"Ferrule, Vitre, Pyre, Maul, Ballast",1.62,1.23,2.45,2.34,2.17,1.962,2.45,1.23,1.22,9,Tankx2 DPSx2 Breakerx2,none,growth void chaos decay growth,1,6.3
"Sump, Vitre, Halo, Ballast, Mote",1.78,1.16,2.73,1.83,2.29,1.958,2.73,1.16,1.57,11,Healerx2 Breakerx2 Speedx3,none,growth void energy growth energy,2,36.5
"Ash, Vane, Fen, Ledger, Corr",1.85,1.39,2.08,2.41,1.92,1.93,2.41,1.39,1.02,6,Speedx2 Healerx2,none,decay energy order order void,1,11
"Mote, Vane, Ferrule, Corr, Maul",1.9,1.23,1.58,2.68,2.22,1.922,2.68,1.23,1.45,6,Speedx2 Breakerx2 DPSx3,none,energy energy growth void decay,1,10.5
"Vitre, Ledger, Rime, Sump, Vane",1.69,1.16,2.91,1.69,2.15,1.92,2.91,1.16,1.75,10,Breakerx3 Speedx3 Healerx2,none,void order order growth energy,1,27
"Fen, Ferrule, Corr, Rime, Wex",1.76,1.16,2.24,2.08,2.34,1.916,2.34,1.16,1.18,6,Healerx2 Tankx2 DPSx2,none,order growth void order order,2,77.6
"Quill, Cinder, Rime, Mire, Ferrule",1.74,1.07,2.24,2.36,2.15,1.912,2.36,1.07,1.29,9,Breakerx2 DoTx2 DPSx2 Tankx2,none,void chaos order growth growth,1,10.7
"Pyre, Ash, Ballast, Nettle, Mire",1.74,1.37,2.11,2.15,2.15,1.904,2.15,1.37,0.78,10,DoTx2 Tankx2,none,chaos decay growth energy growth,1,4.2
"Mire, Vitre, Ledger, Bosk, Maul",1.64,1.23,2.24,2.29,2.06,1.892,2.29,1.23,1.06,8,Tankx2 Breakerx3 Speedx2 DPSx2,none,growth void order decay decay,1,9.6
"Tarn, Maul, Mote, Halo, Sump",1.74,1.37,1.58,2.57,2.15,1.882,2.57,1.37,1.2,10,DPSx2 Breakerx2 Speedx2 Healerx2,none,chaos decay energy energy growth,1,9.9
"Corr, Wex, Mote, Cinder, Ballast",1.88,1.21,1.74,2.41,2.15,1.878,2.41,1.21,1.2,6,DPSx2 Tankx2,none,void order energy chaos growth,0,0
"Cinder, Bosk, Ledger, Mote, Maul",1.74,1.39,1.58,2.57,2.06,1.868,2.57,1.39,1.18,5,DPSx3 Breakerx3 Speedx2,none,chaos decay order energy decay,1,5.7
"Bosk, Corr, Ledger, Vitre, Ferrule",1.58,1.18,2.38,2.24,1.92,1.86,2.38,1.18,1.2,6,DPSx3 Tankx2 Breakerx2 Speedx2,none,decay void order void growth,1,20.9
"Ledger, Cinder, Ferrule, Ballast, Mote",1.81,1.23,1.58,2.57,2.11,1.86,2.57,1.23,1.34,8,Breakerx2 Speedx2 DPSx2 Tankx2,none,order chaos growth growth energy,1,7.8
"Nettle, Mire, Maul, Vitre, Tarn",1.55,1.16,2.24,2.2,2.08,1.846,2.24,1.16,1.08,11,Speedx2 Tankx2 DPSx2 Breakerx2,none,energy growth decay void chaos,0,0
"Quill, Mire, Vitre, Ballast, Maul",1.58,1.11,2.24,2.15,2.08,1.832,2.24,1.11,1.13,10,Breakerx3 Tankx2,none,void growth void growth decay,2,32.2
"Maul, Rime, Halo, Sump, Quill",1.76,1,2.06,2.06,2.27,1.83,2.27,1,1.27,8,Breakerx3 Healerx2 DoTx2,none,decay order energy growth void,0,0
"Vitre, Fen, Vane, Pyre, Mote",1.74,1.16,2.68,1.55,1.99,1.824,2.68,1.16,1.52,8,Breakerx2 Speedx3 Healerx2,none,void order energy chaos energy,1,18.7
"Maul, Cinder, Wex, Bosk, Corr",1.69,1.07,1.58,2.61,2.15,1.82,2.61,1.07,1.54,3,DPSx4 Tankx2,DPS,decay chaos order decay void,1,11.7
"Maul, Ferrule, Cinder, Wex, Quill",1.64,0.91,1.74,2.52,2.22,1.806,2.52,0.91,1.61,6,DPSx3 Breakerx2 Tankx2 DoTx2,none,decay growth chaos order void,0,0
"Halo, Cinder, Vitre, Nettle, Rime",1.41,1.02,2.82,1.74,2.01,1.8,2.82,1.02,1.8,8,Speedx3 Breakerx2,none,energy chaos void energy order,1,13.6
"Pyre, Cinder, Rime, Sump, Mire",1.6,1.07,1.85,2.41,1.99,1.784,2.41,1.07,1.34,10,DoTx3 Healerx2,none,chaos chaos order growth growth,2,37.2
"Nettle, Mire, Bosk, Ferrule, Wex",1.74,1.21,1.85,2.38,1.74,1.784,2.38,1.21,1.17,7,Healerx2 Tankx4 DPSx2,Tank,energy growth decay growth order,1,15.3
"Sump, Maul, Pyre, Vitre, Cinder",1.41,1.09,2.24,2.2,1.92,1.772,2.24,1.09,1.15,9,DoTx3 DPSx2 Breakerx2,none,growth decay chaos void chaos,1,11.1
"Nettle, Rime, Ledger, Sump, Vane",1.62,1,2.22,1.85,2.11,1.76,2.22,1,1.22,8,Speedx3 Breakerx2 Healerx2,none,energy order order growth energy,2,48.7
"Cinder, Sump, Wex, Mote, Ballast",1.64,1.05,1.58,2.52,1.94,1.746,2.52,1.05,1.47,9,DoTx2 Healerx2 Tankx2,none,chaos growth order energy growth,1,21.9
"Quill, Tarn, Bosk, Rime, Mire",1.58,1.07,2.13,1.92,1.99,1.738,2.13,1.07,1.06,9,Breakerx2 Tankx3 DPSx2,none,void chaos decay order growth,0,0
"Pyre, Vitre, Mote, Ledger, Bosk",1.44,1.07,2.29,1.76,2.08,1.728,2.29,1.07,1.22,7,Breakerx3 Speedx3,none,chaos void energy order decay,0,0
"Quill, Corr, Pyre, Vitre, Mire",1.41,1.09,2.24,2.06,1.83,1.726,2.24,1.09,1.15,8,Breakerx2 DoTx2,none,void void chaos void growth,2,63.6
"Fen, Nettle, Mire, Quill, Vitre",1.55,1,2.41,1.76,1.9,1.724,2.41,1,1.41,9,Healerx2 Speedx2 Breakerx2,none,order energy growth void void,1,34.7
"Nettle, Ledger, Mote, Pyre, Fen",1.64,1.11,1.44,2.31,2.08,1.716,2.31,1.11,1.2,6,Speedx3 Breakerx2,none,energy order energy chaos order,2,45.8
"Maul, Corr, Vitre, Quill, Nettle",1.44,1.09,1.97,2.15,1.9,1.71,2.15,1.09,1.06,6,DPSx2 Breakerx3 Speedx2,none,decay void void void energy,2,26
"Pyre, Halo, Ferrule, Maul, Ash",1.58,1.23,1.74,1.9,2.06,1.702,2.06,1.23,0.83,8,DoTx2 DPSx2,none,chaos energy growth decay decay,1,7.1
"Ledger, Nettle, Vitre, Fen, Cinder",1.37,1.07,2.15,2.08,1.76,1.686,2.15,1.07,1.08,7,Breakerx2 Speedx3,none,order energy void order chaos,1,15.5
"Rime, Pyre, Tarn, Vane, Maul",1.53,1.16,1.74,1.9,2.08,1.682,2.08,1.16,0.92,8,Breakerx2 DPSx2,none,order chaos chaos energy decay,1,1.7
"Mote, Wex, Corr, Ferrule, Tarn",1.64,1.05,1.78,1.88,1.99,1.668,1.99,1.05,0.94,8,Tankx3 DPSx3,none,energy order void growth chaos,0,0
"Sump, Wex, Maul, Ferrule, Quill",1.44,0.84,1.78,2.31,1.94,1.662,2.31,0.84,1.47,8,DoTx2 Healerx2 Tankx2 DPSx2 Breakerx2,none,growth order decay growth void,1,15.3
"Cinder, Mote, Wex, Sump, Quill",1.58,0.95,1.55,2.34,1.85,1.654,2.34,0.95,1.39,8,DoTx3 Breakerx2 Healerx2,none,chaos energy order growth void,0,0
"Tarn, Ash, Ledger, Ballast, Vane",1.69,1.34,1.85,1.94,1.44,1.652,1.94,1.34,0.6,10,Tankx2 Speedx2,none,chaos decay order growth energy,0,0
"Vitre, Ballast, Ledger, Cinder, Wex",1.51,0.98,2.08,1.9,1.74,1.642,2.08,0.98,1.1,8,Breakerx2 Speedx2 Tankx2,none,void growth order chaos order,1,16.8
"Maul, Ledger, Halo, Cinder, Mote",1.53,1.23,1.3,2.27,1.85,1.636,2.27,1.23,1.04,6,DPSx2 Breakerx3 Speedx3,none,decay order energy chaos energy,1,7.4
"Rime, Pyre, Maul, Quill, Nettle",1.46,1.07,1.69,1.94,1.97,1.626,1.97,1.07,0.9,6,Breakerx3 DoTx2,none,order chaos decay void energy,0,0
"Nettle, Bosk, Maul, Pyre, Vitre",1.32,1.07,1.9,1.94,1.85,1.616,1.94,1.07,0.87,6,Speedx2 DPSx2 Breakerx2,none,energy decay decay chaos void,1,6
"Sump, Cinder, Nettle, Ferrule, Rime",1.46,0.98,1.58,2.2,1.85,1.614,2.2,0.98,1.22,9,DoTx2 DPSx2,none,growth chaos energy growth order,1,4.1
"Mote, Cinder, Mire, Vane, Corr",1.55,1.11,1.41,2.24,1.76,1.614,2.24,1.11,1.13,7,Speedx2 DPSx2 Healerx2,none,energy chaos growth energy void,1,14.5
"Corr, Ferrule, Bosk, Rime, Ballast",1.48,1.09,1.74,1.78,1.94,1.606,1.94,1.09,0.85,6,DPSx3 Tankx3,none,void growth decay order growth,1,8.3
"Sump, Tarn, Rime, Pyre, Ferrule",1.53,1.07,1.58,1.92,1.81,1.582,1.92,1.07,0.85,11,DoTx2 Tankx2 DPSx2,none,growth chaos order chaos growth,2,24.4
"Nettle, Cinder, Pyre, Vitre, Wex",1.34,0.98,1.74,2.08,1.74,1.576,2.08,0.98,1.1,7,Speedx2 DoTx2,none,energy chaos chaos void order,1,24.5
"Rime, Mire, Fen, Wex, Ferrule",1.39,0.93,1.85,1.64,1.88,1.538,1.88,0.93,0.95,9,Healerx3 Tankx3,none,order growth order order growth,3,101.1
"Ferrule, Ballast, Vitre, Sump, Ledger",1.25,0.86,2.01,1.81,1.64,1.514,2.01,0.86,1.15,11,Tankx2 Breakerx2 Speedx2,none,growth growth void growth order,2,41.1
"Ballast, Vane, Mote, Tarn, Mire",1.44,0.95,1.44,1.99,1.64,1.492,1.99,0.95,1.04,11,Tankx3 Speedx2 Healerx2,none,growth energy energy chaos growth,2,26.5
