constant,value,is default,team,world,bp
ARMOR_PER_LAYER,14,yes,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
ARMOR_PER_LAYER,14,yes,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
ARMOR_PER_LAYER,14,yes,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
ARMOR_PER_LAYER,14,yes,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.55
ARMOR_PER_LAYER,14,yes,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.22
ARMOR_PER_LAYER,14,yes,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
ARMOR_PER_LAYER,14,yes,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
ARMOR_PER_LAYER,14,yes,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
ARMOR_PER_LAYER,18,,"Pyre, Ash, Corr, Rime, Maul",open,2.15
ARMOR_PER_LAYER,18,,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
ARMOR_PER_LAYER,18,,"Pyre, Ash, Corr, Rime, Maul",hive,3.1
ARMOR_PER_LAYER,18,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.74
ARMOR_PER_LAYER,18,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.25
ARMOR_PER_LAYER,18,,"Tarn, Vitre, Nettle, Maul, Rime",hive,2.06
ARMOR_PER_LAYER,18,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.83
ARMOR_PER_LAYER,18,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.41
ARMOR_PER_LAYER,18,,"Cinder, Mote, Bosk, Pyre, Ash",hive,1.9
ARMOR_PER_LAYER,18,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1
ARMOR_PER_LAYER,18,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.63
ARMOR_PER_LAYER,18,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.95
ARMOR_PER_LAYER,24,,"Pyre, Ash, Corr, Rime, Maul",open,1.9
ARMOR_PER_LAYER,24,,"Pyre, Ash, Corr, Rime, Maul",murk,1.55
ARMOR_PER_LAYER,24,,"Pyre, Ash, Corr, Rime, Maul",hive,2.89
ARMOR_PER_LAYER,24,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.48
ARMOR_PER_LAYER,24,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.16
ARMOR_PER_LAYER,24,,"Tarn, Vitre, Nettle, Maul, Rime",hive,1.97
ARMOR_PER_LAYER,24,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.6
ARMOR_PER_LAYER,24,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.28
ARMOR_PER_LAYER,24,,"Cinder, Mote, Bosk, Pyre, Ash",hive,1.64
ARMOR_PER_LAYER,24,,"Wex, Sump, Nettle, Bosk, Ferrule",open,0.88
ARMOR_PER_LAYER,24,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.58
ARMOR_PER_LAYER,24,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.86
ARMOR_MITIGATION,0.25,,"Pyre, Ash, Corr, Rime, Maul",open,2.15
ARMOR_MITIGATION,0.25,,"Pyre, Ash, Corr, Rime, Maul",murk,1.76
ARMOR_MITIGATION,0.25,,"Pyre, Ash, Corr, Rime, Maul",hive,3.47
ARMOR_MITIGATION,0.25,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.74
ARMOR_MITIGATION,0.25,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.25
ARMOR_MITIGATION,0.25,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
ARMOR_MITIGATION,0.25,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
ARMOR_MITIGATION,0.25,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.41
ARMOR_MITIGATION,0.25,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.24
ARMOR_MITIGATION,0.25,,"Wex, Sump, Nettle, Bosk, Ferrule",open,0.7
ARMOR_MITIGATION,0.25,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.4
ARMOR_MITIGATION,0.25,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.63
ARMOR_MITIGATION,0.4,,"Pyre, Ash, Corr, Rime, Maul",open,2.15
ARMOR_MITIGATION,0.4,,"Pyre, Ash, Corr, Rime, Maul",murk,1.76
ARMOR_MITIGATION,0.4,,"Pyre, Ash, Corr, Rime, Maul",hive,3.35
ARMOR_MITIGATION,0.4,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.74
ARMOR_MITIGATION,0.4,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.34
ARMOR_MITIGATION,0.4,,"Tarn, Vitre, Nettle, Maul, Rime",hive,4.09
ARMOR_MITIGATION,0.4,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
ARMOR_MITIGATION,0.4,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.46
ARMOR_MITIGATION,0.4,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.24
ARMOR_MITIGATION,0.4,,"Wex, Sump, Nettle, Bosk, Ferrule",open,0.88
ARMOR_MITIGATION,0.4,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.52
ARMOR_MITIGATION,0.4,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.77
ARMOR_MITIGATION,0.55,yes,"Pyre, Ash, Corr, Rime, Maul",open,2.2
ARMOR_MITIGATION,0.55,yes,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
ARMOR_MITIGATION,0.55,yes,"Pyre, Ash, Corr, Rime, Maul",hive,3.49
ARMOR_MITIGATION,0.55,yes,"Tarn, Vitre, Nettle, Maul, Rime",open,1.88
ARMOR_MITIGATION,0.55,yes,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
ARMOR_MITIGATION,0.55,yes,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
ARMOR_MITIGATION,0.55,yes,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
ARMOR_MITIGATION,0.55,yes,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.55
ARMOR_MITIGATION,0.55,yes,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.22
ARMOR_MITIGATION,0.55,yes,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
ARMOR_MITIGATION,0.55,yes,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
ARMOR_MITIGATION,0.55,yes,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
ARMOR_MITIGATION,0.7,,"Pyre, Ash, Corr, Rime, Maul",open,2.38
ARMOR_MITIGATION,0.7,,"Pyre, Ash, Corr, Rime, Maul",murk,1.83
ARMOR_MITIGATION,0.7,,"Pyre, Ash, Corr, Rime, Maul",hive,3.53
ARMOR_MITIGATION,0.7,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.92
ARMOR_MITIGATION,0.7,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.48
ARMOR_MITIGATION,0.7,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.53
ARMOR_MITIGATION,0.7,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
ARMOR_MITIGATION,0.7,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.58
ARMOR_MITIGATION,0.7,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.29
ARMOR_MITIGATION,0.7,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.16
ARMOR_MITIGATION,0.7,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.79
ARMOR_MITIGATION,0.7,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,1.07
ARMOR_MITIGATION,0.85,,"Pyre, Ash, Corr, Rime, Maul",open,2.41
ARMOR_MITIGATION,0.85,,"Pyre, Ash, Corr, Rime, Maul",murk,1.88
ARMOR_MITIGATION,0.85,,"Pyre, Ash, Corr, Rime, Maul",hive,3.53
ARMOR_MITIGATION,0.85,,"Tarn, Vitre, Nettle, Maul, Rime",open,2.06
ARMOR_MITIGATION,0.85,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.58
ARMOR_MITIGATION,0.85,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.79
ARMOR_MITIGATION,0.85,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
ARMOR_MITIGATION,0.85,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.62
ARMOR_MITIGATION,0.85,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.34
ARMOR_MITIGATION,0.85,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.3
ARMOR_MITIGATION,0.85,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.95
ARMOR_MITIGATION,0.85,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,1.28
VULN_BONUS,0,,"Pyre, Ash, Corr, Rime, Maul",open,2.2
VULN_BONUS,0,,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
VULN_BONUS,0,,"Pyre, Ash, Corr, Rime, Maul",hive,3.26
VULN_BONUS,0,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.67
VULN_BONUS,0,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.32
VULN_BONUS,0,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.53
VULN_BONUS,0,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
VULN_BONUS,0,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.48
VULN_BONUS,0,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.15
VULN_BONUS,0,,"Wex, Sump, Nettle, Bosk, Ferrule",open,0.95
VULN_BONUS,0,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.65
VULN_BONUS,0,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.91
VULN_BONUS,0.2,,"Pyre, Ash, Corr, Rime, Maul",open,2.24
VULN_BONUS,0.2,,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
VULN_BONUS,0.2,,"Pyre, Ash, Corr, Rime, Maul",hive,3.49
VULN_BONUS,0.2,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.74
VULN_BONUS,0.2,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
VULN_BONUS,0.2,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.74
VULN_BONUS,0.2,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
VULN_BONUS,0.2,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.53
VULN_BONUS,0.2,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.27
VULN_BONUS,0.2,,"Wex, Sump, Nettle, Bosk, Ferrule",open,0.98
VULN_BONUS,0.2,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.68
VULN_BONUS,0.2,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.91
VULN_BONUS,0.35,yes,"Pyre, Ash, Corr, Rime, Maul",open,2.2
VULN_BONUS,0.35,yes,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
VULN_BONUS,0.35,yes,"Pyre, Ash, Corr, Rime, Maul",hive,3.49
VULN_BONUS,0.35,yes,"Tarn, Vitre, Nettle, Maul, Rime",open,1.88
VULN_BONUS,0.35,yes,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
VULN_BONUS,0.35,yes,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
VULN_BONUS,0.35,yes,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
VULN_BONUS,0.35,yes,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.55
VULN_BONUS,0.35,yes,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.22
VULN_BONUS,0.35,yes,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
VULN_BONUS,0.35,yes,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
VULN_BONUS,0.35,yes,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
VULN_BONUS,0.5,,"Pyre, Ash, Corr, Rime, Maul",open,2.2
VULN_BONUS,0.5,,"Pyre, Ash, Corr, Rime, Maul",murk,1.9
VULN_BONUS,0.5,,"Pyre, Ash, Corr, Rime, Maul",hive,3.51
VULN_BONUS,0.5,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.9
VULN_BONUS,0.5,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
VULN_BONUS,0.5,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.86
VULN_BONUS,0.5,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.97
VULN_BONUS,0.5,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.55
VULN_BONUS,0.5,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.29
VULN_BONUS,0.5,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.07
VULN_BONUS,0.5,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
VULN_BONUS,0.5,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
VULN_BONUS,0.75,,"Pyre, Ash, Corr, Rime, Maul",open,2.31
VULN_BONUS,0.75,,"Pyre, Ash, Corr, Rime, Maul",murk,1.9
VULN_BONUS,0.75,,"Pyre, Ash, Corr, Rime, Maul",hive,3.53
VULN_BONUS,0.75,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.92
VULN_BONUS,0.75,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
VULN_BONUS,0.75,,"Tarn, Vitre, Nettle, Maul, Rime",hive,4.09
VULN_BONUS,0.75,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
VULN_BONUS,0.75,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.58
VULN_BONUS,0.75,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.29
VULN_BONUS,0.75,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.09
VULN_BONUS,0.75,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
VULN_BONUS,0.75,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
BREAK_DELAY,0,,"Pyre, Ash, Corr, Rime, Maul",open,2.17
BREAK_DELAY,0,,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
BREAK_DELAY,0,,"Pyre, Ash, Corr, Rime, Maul",hive,3.4
BREAK_DELAY,0,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.74
BREAK_DELAY,0,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.39
BREAK_DELAY,0,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.56
BREAK_DELAY,0,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
BREAK_DELAY,0,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.48
BREAK_DELAY,0,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.17
BREAK_DELAY,0,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1
BREAK_DELAY,0,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
BREAK_DELAY,0,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
BREAK_DELAY,0.2,,"Pyre, Ash, Corr, Rime, Maul",open,2.2
BREAK_DELAY,0.2,,"Pyre, Ash, Corr, Rime, Maul",murk,1.76
BREAK_DELAY,0.2,,"Pyre, Ash, Corr, Rime, Maul",hive,3.53
BREAK_DELAY,0.2,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.78
BREAK_DELAY,0.2,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
BREAK_DELAY,0.2,,"Tarn, Vitre, Nettle, Maul, Rime",hive,4.09
BREAK_DELAY,0.2,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
BREAK_DELAY,0.2,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.53
BREAK_DELAY,0.2,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.27
BREAK_DELAY,0.2,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
BREAK_DELAY,0.2,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
BREAK_DELAY,0.2,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
BREAK_DELAY,0.35,yes,"Pyre, Ash, Corr, Rime, Maul",open,2.2
BREAK_DELAY,0.35,yes,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
BREAK_DELAY,0.35,yes,"Pyre, Ash, Corr, Rime, Maul",hive,3.49
BREAK_DELAY,0.35,yes,"Tarn, Vitre, Nettle, Maul, Rime",open,1.88
BREAK_DELAY,0.35,yes,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
BREAK_DELAY,0.35,yes,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
BREAK_DELAY,0.35,yes,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
BREAK_DELAY,0.35,yes,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.55
BREAK_DELAY,0.35,yes,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.22
BREAK_DELAY,0.35,yes,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
BREAK_DELAY,0.35,yes,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
BREAK_DELAY,0.35,yes,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
BREAK_DELAY,0.5,,"Pyre, Ash, Corr, Rime, Maul",open,2.41
BREAK_DELAY,0.5,,"Pyre, Ash, Corr, Rime, Maul",murk,1.9
BREAK_DELAY,0.5,,"Pyre, Ash, Corr, Rime, Maul",hive,3.47
BREAK_DELAY,0.5,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.83
BREAK_DELAY,0.5,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
BREAK_DELAY,0.5,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
BREAK_DELAY,0.5,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
BREAK_DELAY,0.5,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.55
BREAK_DELAY,0.5,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.27
BREAK_DELAY,0.5,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
BREAK_DELAY,0.5,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
BREAK_DELAY,0.5,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
BREAK_DELAY,0.75,,"Pyre, Ash, Corr, Rime, Maul",open,2.38
BREAK_DELAY,0.75,,"Pyre, Ash, Corr, Rime, Maul",murk,1.9
BREAK_DELAY,0.75,,"Pyre, Ash, Corr, Rime, Maul",hive,3.4
BREAK_DELAY,0.75,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.78
BREAK_DELAY,0.75,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
BREAK_DELAY,0.75,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
BREAK_DELAY,0.75,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
BREAK_DELAY,0.75,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.69
BREAK_DELAY,0.75,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.29
BREAK_DELAY,0.75,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
BREAK_DELAY,0.75,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
BREAK_DELAY,0.75,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
HARMONY_CAP,0,,"Pyre, Ash, Corr, Rime, Maul",open,2.24
HARMONY_CAP,0,,"Pyre, Ash, Corr, Rime, Maul",murk,1.78
HARMONY_CAP,0,,"Pyre, Ash, Corr, Rime, Maul",hive,3.53
HARMONY_CAP,0,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.88
HARMONY_CAP,0,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
HARMONY_CAP,0,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
HARMONY_CAP,0,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
HARMONY_CAP,0,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.48
HARMONY_CAP,0,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.29
HARMONY_CAP,0,,"Wex, Sump, Nettle, Bosk, Ferrule",open,0.91
HARMONY_CAP,0,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.54
HARMONY_CAP,0,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.84
HARMONY_CAP,1,,"Pyre, Ash, Corr, Rime, Maul",open,2.2
HARMONY_CAP,1,,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
HARMONY_CAP,1,,"Pyre, Ash, Corr, Rime, Maul",hive,3.49
HARMONY_CAP,1,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.88
HARMONY_CAP,1,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
HARMONY_CAP,1,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
HARMONY_CAP,1,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
HARMONY_CAP,1,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.55
HARMONY_CAP,1,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.22
HARMONY_CAP,1,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
HARMONY_CAP,1,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
HARMONY_CAP,1,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
HARMONY_CAP,2,yes,"Pyre, Ash, Corr, Rime, Maul",open,2.2
HARMONY_CAP,2,yes,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
HARMONY_CAP,2,yes,"Pyre, Ash, Corr, Rime, Maul",hive,3.49
HARMONY_CAP,2,yes,"Tarn, Vitre, Nettle, Maul, Rime",open,1.88
HARMONY_CAP,2,yes,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
HARMONY_CAP,2,yes,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
HARMONY_CAP,2,yes,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
HARMONY_CAP,2,yes,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.55
HARMONY_CAP,2,yes,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.22
HARMONY_CAP,2,yes,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
HARMONY_CAP,2,yes,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
HARMONY_CAP,2,yes,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
HARMONY_CAP,3,,"Pyre, Ash, Corr, Rime, Maul",open,2.2
HARMONY_CAP,3,,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
HARMONY_CAP,3,,"Pyre, Ash, Corr, Rime, Maul",hive,3.49
HARMONY_CAP,3,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.88
HARMONY_CAP,3,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
HARMONY_CAP,3,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
HARMONY_CAP,3,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
HARMONY_CAP,3,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.55
HARMONY_CAP,3,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.22
HARMONY_CAP,3,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
HARMONY_CAP,3,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
HARMONY_CAP,3,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
HARMONY_CAP,8,,"Pyre, Ash, Corr, Rime, Maul",open,2.2
HARMONY_CAP,8,,"Pyre, Ash, Corr, Rime, Maul",murk,1.74
HARMONY_CAP,8,,"Pyre, Ash, Corr, Rime, Maul",hive,3.49
HARMONY_CAP,8,,"Tarn, Vitre, Nettle, Maul, Rime",open,1.88
HARMONY_CAP,8,,"Tarn, Vitre, Nettle, Maul, Rime",murk,1.41
HARMONY_CAP,8,,"Tarn, Vitre, Nettle, Maul, Rime",hive,3.58
HARMONY_CAP,8,,"Cinder, Mote, Bosk, Pyre, Ash",open,1.9
HARMONY_CAP,8,,"Cinder, Mote, Bosk, Pyre, Ash",murk,1.55
HARMONY_CAP,8,,"Cinder, Mote, Bosk, Pyre, Ash",hive,2.22
HARMONY_CAP,8,,"Wex, Sump, Nettle, Bosk, Ferrule",open,1.02
HARMONY_CAP,8,,"Wex, Sump, Nettle, Bosk, Ferrule",murk,0.7
HARMONY_CAP,8,,"Wex, Sump, Nettle, Bosk, Ferrule",hive,0.93
HARMONY_DMG,0.2,,"Pyre, Ash, Corr, Rime, Maul",open,2.24
HARMONY_DMG,0.2,,"Pyre, Ash, Corr, Rime, Maul",murk,1.78
HARMONY_DMG,0.2,,"Pyre, Ash, Corr, Rime, Maul",hive,3.53
